Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,0.00006
0.05000,-0.00107,-0.00002
0.10000,-0.00560,-0.00005
0.15000,-0.01453,0.00000
0.20000,-0.02533,-0.00002
0.25000,-0.03560,-0.00003
0.30000,-0.04533,-0.00001
0.35000,-0.05507,-0.00002
0.40000,-0.06413,-0.00001
0.45000,-0.07307,-0.00001
0.50000,-0.08213,-0.00001
0.55000,-0.09053,-0.00001
0.60000,-0.09907,-0.00002
0.65000,-0.10773,-0.00002
0.70000,-0.11600,0.00000
0.75000,-0.12440,0.00000
0.80000,-0.13293,-0.00001
0.85000,-0.14133,-0.00002
0.90000,-0.15000,0.00001
0.95000,-0.15827,0.00000
1.00000,-0.16653,0.00001
1.05000,-0.17493,0.00001
1.10000,-0.18347,-0.00002
1.15000,-0.19160,0.00003
1.20000,-0.20000,0.00002
1.25000,-0.20853,0.00000
1.30000,-0.21640,0.00000
1.35000,-0.22480,0.00000
1.40000,-0.23347,0.00002
1.45000,-0.24147,0.00001
1.50000,-0.24960,0.00001
1.55000,-0.25827,-0.00001
1.60000,-0.26667,0.00000
1.65000,-0.27493,0.00003
1.70000,-0.28333,0.00001
1.75000,-0.29173,0.00001
1.80000,-0.30000,0.00000
1.85000,-0.30840,0.00003
1.90000,-0.31680,-0.00001
1.95000,-0.32520,0.00000
2.00000,-0.33360,0.00000
2.05000,-0.34160,-0.00001
2.10000,-0.35013,0.00002
2.15000,-0.35840,0.00000
2.20000,-0.36640,0.00002
2.25000,-0.37480,0.00000
2.30000,-0.38347,0.00003
2.35000,-0.39160,0.00000
2.40000,-0.39987,0.00002
2.45000,-0.40840,0.00002
2.50000,-0.41680,0.00002
2.55000,-0.42493,0.00000
2.60000,-0.43333,0.00002
2.65000,-0.44187,0.00001
2.70000,-0.44987,0.00002
2.75000,-0.45840,0.00003
2.80000,-0.46680,0.00001
2.85000,-0.47507,0.00002
2.90000,-0.48320,0.00002
2.95000,-0.49160,0.00003
3.00000,-0.50000,0.00002
3.05000,-0.50840,0.00000
3.10000,-0.51653,0.00002
3.15000,-0.52493,0.00003
3.20000,-0.53333,0.00003
3.25000,-0.54173,0.00001
3.30000,-0.55000,0.00002
3.35000,-0.55840,0.00003
3.40000,-0.56693,0.00003
3.45000,-0.57507,0.00004
3.50000,-0.58347,0.00002
3.55000,-0.59187,-0.00001
3.60000,-0.60000,0.00002
3.65000,-0.60827,0.00003
3.70000,-0.61680,0.00003
3.75000,-0.62480,0.00003
3.80000,-0.63307,0.00003
3.85000,-0.64160,0.00002
3.90000,-0.64973,0.00003
3.95000,-0.65800,0.00002
4.00000,-0.66653,0.00003
4.05000,-0.67480,0.00002
4.10000,-0.68320,0.00003
4.15000,-0.69146,0.00004
4.20000,-0.69973,0.00003
4.25000,-0.70826,0.00002
4.30000,-0.71666,0.00002
4.35000,-0.72493,0.00003
4.40000,-0.73346,0.00004
4.45000,-0.74186,0.00002
4.50000,-0.74986,0.00003
4.55000,-0.75813,0.00001
4.60000,-0.76680,0.00005
4.65000,-0.77480,0.00004
4.70000,-0.78293,0.00001
4.75000,-0.79160,0.00002
4.80000,-0.80000,0.00002
4.85000,-0.80826,0.00004
4.90000,-0.81666,0.00005
4.95000,-0.82506,0.00002
5.00000,-0.83346,0.00002
5.05000,-0.84173,0.00002
5.10000,-0.85013,0.00004
5.15000,-0.85853,0.00003
5.20000,-0.86680,0.00002
5.25000,-0.87493,0.00002
5.30000,-0.88333,0.00002
5.35000,-0.89173,0.00003
5.40000,-0.89986,0.00003
5.45000,-0.90826,0.00006
5.50000,-0.91680,0.00004
5.55000,-0.92480,0.00002
5.60000,-0.93320,0.00003
5.65000,-0.94186,0.00003
5.70000,-0.95013,0.00002
5.75000,-0.95826,0.00005
5.80000,-0.96680,0.00003
5.85000,-0.97520,0.00004
5.90000,-0.98333,0.00004
5.95000,-0.99173,0.00004
6.00000,-1.00013,0.00003
