Time sec,Extension mm,Load kgf,Compressive stress MPa,Cycle Count ,Total Cycle Count ,Repetitions Count ,Marked Data ,PIP Count ,Compressive extension mm,Compressive strain %,Compressive load kgf,Displacement (Strain 1) mm,True strain %,Corrected Position mm,True stress Pa
0,-1.080397,-0.00641651,0.0001356804,0,0,0,0,0,-1.964651E-016,-8.881784E-016,0.00641651,0,0,-1.080397,135.6804
0.05,-1.081464,-0.006539956,0.0001382907,0,0,0,0,0,0.001066597,0.004821868,0.006539956,0,0.004821984,-1.081464,138.2841
0.1,-1.085864,-0.006751803,0.0001427704,0,0,0,0,0,0.005466631,0.02471352,0.006751803,0,0.02471657,-1.085864,142.7351
0.15,-1.094931,-0.007861165,0.0001662284,0,0,0,0,0,0.01453329,0.06570203,0.007861165,0,0.06572362,-1.094931,166.1192
0.2,-1.105331,-0.00868814,0.0001837152,0,0,0,0,0,0.02493325,0.1127181,0.008688141,0,0.1127817,-1.105331,183.5081
0.25,-1.115731,-0.01018367,0.000215339,0,0,0,0,0,0.03533322,0.1597342,0.01018367,0,0.159862,-1.115731,214.9951
0.3,-1.125864,-0.01090394,0.0002305694,0,0,0,0,0,0.04546659,0.2055451,0.01090394,0,0.2057567,-1.125864,230.0955
0.35,-1.135064,-0.01202291,0.0002542305,0,0,0,0,0,0.05466654,0.2471363,0.01202291,0,0.2474421,-1.135064,253.6022
0.4,-1.144397,-0.01264884,0.0002674662,0,0,0,0,0,0.06399979,0.28933,0.01264884,0,0.2897493,-1.144397,266.6924
0.45,-1.153464,-0.01380931,0.0002920049,0,0,0,0,0,0.07306644,0.3303185,0.01380931,0,0.3308652,-1.153464,291.0403
0.5,-1.161997,-0.01394296,0.000294831,0,0,0,0,0,0.08159981,0.368896,0.01394296,0,0.3695782,-1.161997,293.7434
0.55,-1.17093,-0.01529621,0.0003234463,0,0,0,0,0,0.09053306,0.4092814,0.01529621,0,0.4101213,-1.17093,322.1224
0.6,-1.179731,-0.01547549,0.0003272372,0,0,0,0,0,0.09933312,0.4490647,0.01547549,0,0.4500761,-1.179731,325.7677
0.6500001,-1.18813,-0.01642246,0.0003472613,0,0,0,0,0,0.1077331,0.4870392,0.01642246,0,0.4882291,-1.18813,345.57
0.7000001,-1.19653,-0.01711541,0.0003619141,0,0,0,0,0,0.116133,0.5250136,0.01711541,0,0.5263967,-1.19653,360.014
0.7500001,-1.20533,-0.01742451,0.0003684502,0,0,0,0,0,0.124933,0.5647964,0.01742451,0,0.5663974,-1.20533,366.3692
0.8,-1.213597,-0.01820901,0.0003850389,0,0,0,0,0,0.1331996,0.6021683,0.01820901,0,0.6039886,-1.213597,382.7203
0.85,-1.221864,-0.01871322,0.0003957007,0,0,0,0,0,0.1414663,0.6395401,0.01871322,0,0.6415939,-1.221864,393.1701
0.9000001,-1.230397,-0.01901175,0.0004020132,0,0,0,0,0,0.1499996,0.6781177,0.01901175,0,0.6804273,-1.230397,399.287
0.9500001,-1.238797,-0.01995354,0.0004219278,0,0,0,0,0,0.1583996,0.7160921,0.01995354,0,0.7186684,-1.238797,418.9064
1,-1.24693,-0.02020936,0.0004273373,0,0,0,0,0,0.1665329,0.7528614,0.02020936,0,0.7557097,-1.24693,424.12
1.05,-1.255197,-0.02100099,0.0004440767,0,0,0,0,0,0.1747996,0.7902332,0.02100099,0,0.7933721,-1.255197,440.5675
1.1,-1.263597,-0.02140585,0.0004526376,0,0,0,0,0,0.1831995,0.8282077,0.02140585,0,0.8316563,-1.263597,448.8889
1.15,-1.271997,-0.02201557,0.0004655306,0,0,0,0,0,0.1915995,0.8661821,0.02201557,0,0.8699553,-1.271997,461.4982
1.2,-1.280264,-0.02226554,0.0004708163,0,0,0,0,0,0.1998661,0.903554,0.02226554,0,0.9076607,-1.280264,466.5622
1.25,-1.28853,-0.02320208,0.0004906199,0,0,0,0,0,0.2081328,0.9409258,0.02320208,0,0.9453805,-1.28853,486.0035
1.3,-1.297197,-0.02372235,0.0005016213,0,0,0,0,0,0.2167994,0.9801059,0.02372235,0,0.9849406,-1.297197,496.7049
1.35,-1.305463,-0.02389645,0.0005053027,0,0,0,0,0,0.2250661,1.017478,0.02389645,0,1.022689,-1.305463,500.1614
1.4,-1.31373,-0.02509639,0.0005306761,0,0,0,0,0,0.2333327,1.05485,0.02509639,0,1.060453,-1.31373,525.0783
1.45,-1.322264,-0.02509864,0.0005307237,0,0,0,0,0,0.2418661,1.093427,0.02509864,0,1.099449,-1.322264,524.9206
1.5,-1.33053,-0.02607405,0.0005513493,0,0,0,0,0,0.2501327,1.130799,0.02607405,0,1.137241,-1.33053,545.1146
1.55,-1.338663,-0.02630946,0.0005563272,0,0,0,0,0,0.258266,1.167568,0.02630946,0,1.174437,-1.338663,549.8316
1.6,-1.347063,-0.02694718,0.000569812,0,0,0,0,0,0.2666659,1.205542,0.02694718,0,1.212868,-1.347063,562.9426
1.65,-1.355597,-0.02777566,0.0005873305,0,0,0,0,0,0.2751993,1.24412,0.02777565,0,1.251924,-1.355597,580.0234
1.7,-1.36373,-0.02799936,0.0005920609,0,0,0,0,0,0.2833326,1.280889,0.02799936,0,1.289163,-1.36373,584.4772
1.75,-1.371997,-0.02879812,0.000608951,0,0,0,0,0,0.2915993,1.318261,0.02879812,0,1.327027,-1.371997,600.9235
1.8,-1.380397,-0.02923427,0.0006181736,0,0,0,0,0,0.2999993,1.356235,0.02923427,0,1.365516,-1.380397,609.7898
1.85,-1.388663,-0.02978966,0.0006299177,0,0,0,0,0,0.3082659,1.393607,0.02978966,0,1.403409,-1.388663,621.1391
1.9,-1.396797,-0.03020337,0.0006386659,0,0,0,0,0,0.3163992,1.430376,0.03020337,0,1.440704,-1.396797,629.5306
1.95,-1.405197,-0.03076695,0.000650583,0,0,0,0,0,0.3247992,1.468351,0.03076695,0,1.479238,-1.405197,641.0301
2,-1.413597,-0.03123402,0.0006604593,0,0,0,0,0,0.3331992,1.506325,0.03123402,0,1.517786,-1.413597,650.5107
2.05,-1.42173,-0.0319497,0.0006755929,0,0,0,0,0,0.3413325,1.543095,0.0319497,0,1.555124,-1.42173,665.1679
2.1,-1.43013,-0.03241377,0.0006854058,0,0,0,0,0,0.3497325,1.581069,0.03241377,0,1.593701,-1.43013,674.5691
2.15,-1.43853,-0.03297389,0.00069725,0,0,0,0,0,0.3581324,1.619043,0.03297389,0,1.632293,-1.43853,685.9612
2.2,-1.447063,-0.03361356,0.000710776,0,0,0,0,0,0.3666658,1.657621,0.03361356,0,1.671513,-1.447063,698.994
2.25,-1.455463,-0.034164,0.0007224153,0,0,0,0,0,0.3750657,1.695596,0.034164,0,1.710135,-1.455463,710.1661
2.3,-1.46373,-0.03448774,0.0007292609,0,0,0,0,0,0.3833324,1.732967,0.03448774,0,1.748159,-1.46373,716.6231
2.35,-1.47213,-0.03553594,0.0007514257,0,0,0,0,0,0.3917323,1.770942,0.03553594,0,1.786811,-1.47213,738.1184
2.4,-1.48053,-0.03575574,0.0007560735,0,0,0,0,0,0.4001324,1.808917,0.03575574,0,1.825478,-1.48053,742.3968
2.45,-1.488663,-0.03654992,0.0007728668,0,0,0,0,0,0.4082656,1.845685,0.03654992,0,1.862931,-1.488663,758.6022
2.5,-1.49693,-0.03681805,0.0007785366,0,0,0,0,0,0.4165323,1.883057,0.03681805,0,1.901013,-1.49693,763.8763
2.55,-1.505463,-0.03747138,0.0007923515,0,0,0,0,0,0.4250656,1.921635,0.03747138,0,1.940338,-1.505463,777.1254
2.6,-1.513596,-0.03800478,0.0008036307,0,0,0,0,0,0.4331989,1.958404,0.03800478,0,1.977834,-1.513596,787.8924
2.65,-1.52173,-0.03885855,0.000821684,0,0,0,0,0,0.4413322,1.995173,0.03885855,0,2.015345,-1.52173,805.2899
2.7,-1.530396,-0.03919632,0.0008288262,0,0,0,0,0,0.4499989,2.034353,0.03919632,0,2.055331,-1.530396,811.965
2.75,-1.538663,-0.0398251,0.0008421222,0,0,0,0,0,0.4582655,2.071725,0.0398251,0,2.093486,-1.538663,824.6758
2.8,-1.546796,-0.04020152,0.0008500818,0,0,0,0,0,0.4663988,2.108494,0.04020152,0,2.13104,-1.546796,832.1579
2.85,-1.555063,-0.04103165,0.0008676352,0,0,0,0,0,0.4746654,2.145865,0.04103164,0,2.169224,-1.555063,849.017
2.9,-1.563729,-0.04192766,0.000886582,0,0,0,0,0,0.4833321,2.185045,0.04192766,0,2.209271,-1.563729,867.2098
2.95,-1.571996,-0.04224494,0.0008932911,0,0,0,0,0,0.4915987,2.222417,0.04224494,0,2.247485,-1.571996,873.4384
3,-1.580263,-0.04268079,0.0009025073,0,0,0,0,0,0.4998654,2.259789,0.04268079,0,2.285714,-1.580263,882.1125
3.05,-1.588929,-0.04352307,0.0009203178,0,0,0,0,0,0.508532,2.29897,0.04352307,0,2.325808,-1.588929,899.16
3.1,-1.597196,-0.04386557,0.0009275601,0,0,0,0,0,0.5167987,2.336341,0.04386557,0,2.364066,-1.597196,905.8891
3.15,-1.605463,-0.04466313,0.0009444248,0,0,0,0,0,0.5250654,2.373713,0.04466313,0,2.40234,-1.605463,922.0069
3.2,-1.613729,-0.04516014,0.0009549344,0,0,0,0,0,0.533332,2.411085,0.04516014,0,2.440627,-1.613729,931.9101
3.25,-1.622129,-0.04583463,0.0009691968,0,0,0,0,0,0.541732,2.449059,0.04583463,0,2.479548,-1.622129,945.4606
